region,population,distance to msk,average temprature in jan,average temprature in july,crash,injured,died
Republic of Adygea,453376,1669.0,0.5727272727272729,24.172727272727272,14.5,16.428571428571427,1.75
Altai Krai,2350080,3419.0,-17.79090909090909,19.127272727272725,257.5,321.85714285714283,46.5
Amur Oblast,798424,7985.0,-27.00909090909091,19.790909090909086,171.125,218.85714285714286,36.5
Arkhangelsk Oblast,1111031,1133.0,-12.009090909090908,15.9,283.625,427.14285714285717,31.125
Astrakhan Oblast,1017514,1534.0,-4.118181818181818,26.481818181818184,35.0,44.714285714285715,5.25
Republic of Bashkortostan,4063293,1519.0,-12.400000000000004,19.718181818181815,316.0,409.2857142857143,56.5
Belgorod Oblast,1549876,695.0,-6.3,20.945454545454545,128.625,151.57142857142858,23.875
Bryansk Oblast,1210982,379.0,-5.909090909090909,20.054545454545455,176.25,245.28571428571428,33.5
Republic of Buryatia,984511,5532.0,-23.400000000000002,17.263636363636365,226.75,348.57142857142856,50.375
Vladimir Oblast,1378337,190.0,-8.600000000000001,19.81818181818182,388.125,595.7142857142857,72.125
Volgograd Oblast,2521276,1073.0,-7.045454545454546,24.281818181818185,278.25,357.57142857142856,53.125
Vologda Oblast,1176689,497.0,-10.827272727272728,18.80909090909091,234.875,332.0,47.25
Voronezh Oblast,2333768,587.0,-7.118181818181819,21.80909090909091,299.75,394.2857142857143,46.625
Republic of Dagestan,3063885,2166.0,-1.3818181818181818,21.80909090909091,63.25,77.28571428571429,18.25
Jewish Autonomous Oblast,162014,8361.0,-22.236363636363635,17.645454545454545,28.0,42.0,6.0
Zabaykalsky Krai,1072806,6074.0,-27.027272727272727,18.299999999999997,150.25,211.0,45.0
Ivanovo Oblast,1014646,318.0,-9.263636363636364,20.081818181818182,215.375,320.42857142857144,27.0
Republic of Ingushetia,488043,1942.0,-1.4090909090909092,21.5625,9.375,15.714285714285714,3.8
Irkutsk Oblast,2404195,5042.0,-22.809090909090912,17.536363636363635,332.0,443.42857142857144,74.25
Kabardino-Balkar Republic,865828,1873.0,-2.0272727272727273,23.27272727272727,10.25,13.714285714285714,2.0
Kaliningrad Oblast,994599,1289.0,-1.9454545454545455,18.645454545454545,109.875,142.42857142857142,18.375
Republic of Kalmykia,275413,1836.0,-3.9181818181818175,26.263636363636365,32.0,44.42857142857143,7.375
Kaluga Oblast,1012156,188.0,-7.2727272727272725,19.40909090909091,218.625,315.7142857142857,33.25
Kamchatka Krai,315557,11876.0,-14.045454545454545,12.97272727272727,81.5,113.0,10.0
Karachay-Cherkess Republic,466305,1674.0,-2.881818181818182,21.69090909090909,34.375,53.142857142857146,5.25
