year,region,wine,beer,vodka,champagne,brandy,"Площадь территории, тыс. кв. км","Расстояние от региональной столицы до Москвы, км",Средняя температура января,Средняя температура июля,ДТП изза алкоголя,смертей изза ДТП изза алкоголя,ранено изза ДТП изза алкоголя
1998,Altai Krai,3.3,19.2,11.3,1.1,0.1,168.0,3419.0,,,,,
1998,Altai Republic,3.4,7.6,9.0,0.5,0.1,92.9,3641.0,,,,,
1998,Amur Oblast,2.1,21.2,17.3,0.7,0.4,361.9,7985.0,,,,,
1998,Arkhangelsk Oblast,4.3,10.6,11.7,0.4,0.3,589.9,1133.0,,,,,
1998,Astrakhan Oblast,2.9,18.0,9.5,0.8,0.2,49.0,1534.0,,,,,
1998,Belgorod Oblast,3.4,23.0,10.8,0.9,0.1,27.1,695.0,,,,,
1998,Bryansk Oblast,3.4,32.4,9.7,0.5,0.1,34.9,379.0,,,,,
1998,Chechen Republic,,,,,,15.6,2007.0,,,,,
1998,Chelyabinsk Oblast,4.7,27.9,11.1,1.4,0.2,88.5,1919.0,,,,,
1998,Chukotka Autonomous Okrug,0.3,1.8,4.6,0.6,0.1,721.5,8635.0,,,,,
1998,Chuvash Republic,1.6,20.9,8.8,0.8,0.02,18.3,768.0,,,,,
1998,Irkutsk Oblast,5.6,26.8,14.8,1.0,0.4,774.8,5042.0,,,,,
1998,Ivanovo Oblast,1.4,20.7,16.1,0.1,0.04,21.4,318.0,,,,,
1998,Jewish Autonomous Oblast,2.3,11.6,11.5,0.5,0.2,36.3,8361.0,,,,,
1998,Kabardino-Balkar Republic,1.6,9.9,6.5,0.3,0.3,12.5,1873.0,,,,,
1998,Kaliningrad Oblast,2.7,21.6,12.2,1.1,0.3,15.1,1289.0,,,,,
1998,Kaluga Oblast,2.8,24.2,15.6,0.7,0.1,29.8,188.0,,,,,
1998,Kamchatka Krai,6.4,25.5,25.1,0.8,0.4,464.3,11876.0,,,,,
1998,Karachay-Cherkess Republic,1.7,5.4,8.6,0.1,0.04,14.3,1674.0,,,,,
1998,Kemerovo Oblast,3.6,25.6,16.8,1.1,0.4,95.7,3482.0,,,,,
1998,Khabarovsk Krai,3.7,24.8,15.6,1.4,0.6,787.6,8533.0,,,,,
1998,Khanty–Mansi Autonomous Okrug – Yugra,3.0,23.8,11.5,0.8,0.3,534.8,2759.0,,,,,
1998,Kirov Oblast,2.0,12.4,12.8,0.4,0.1,120.4,896.0,,,,,
1998,Komi Republic,5.7,30.3,21.1,1.9,0.6,416.8,1515.0,,,,,
1998,Kostroma Oblast,1.7,25.8,17.9,1.2,0.1,60.2,372.0,,,,,
1998,Krasnodar Krai,8.5,18.3,8.7,1.0,0.3,75.5,1539.0,,,,,
1998,Krasnoyarsk Krai,3.7,25.0,14.1,0.9,0.3,2366.8,3955.0,,,,,
1998,Kurgan Oblast,3.8,20.1,15.1,1.2,0.2,71.5,1973.0,,,,,
1998,Kursk Oblast,1.5,22.9,4.4,0.7,0.1,30.0,536.0,,,,,
1998,Leningrad Oblast,2.3,15.0,13.9,0.5,0.2,83.9,651.0,,,,,
1998,Lipetsk Oblast,2.6,29.6,15.3,1.4,0.2,24.0,508.0,,,,,
1998,Magadan Oblast,6.2,33.8,23.1,2.1,0.3,462.5,7110.0,,,,,
1998,Mari El Republic,3.6,28.4,13.5,0.7,0.2,23.4,862.0,,,,,
1998,Moscow,6.8,30.0,18.9,3.5,0.7,1.07,0.0,,,,,
1998,Moscow Oblast,2.2,11.9,15.2,1.1,0.2,45.8,0.0,,,,,
1998,Murmansk Oblast,4.8,21.4,16.6,1.7,0.6,144.9,1967.0,,,,,
1998,Nenets Autonomous Okrug,4.3,10.6,11.7,0.4,0.3,176.8,2230.0,,,,,
